lon,lat,alt,distance_from_start_km,distance_from_start_mi,cumulative_distance_mi
-77.88786,34.47613,0,0.054040102,0.03358052,20.37651475
-77.88795,34.47636,0,0.026872509,0.016698577,20.39321332
-77.88797,34.47646,0,0.011269608,0.007002935,20.40021626
-77.88799,34.47652,0,0.006918994,0.004299463,20.40451572
-77.88845,34.47758,0,0.125181708,0.077787913,20.48230363
-77.88963,34.48008,0,0.298288054,0.185356197,20.66765983
-77.88972,34.48019,0,0.014753355,0.009167735,20.67682757
-77.89071,34.48239,0,0.260916638,0.162133599,20.83896116
-77.89765,34.49706,0,1.750848449,1.087977226,21.92693839
-77.8979,34.49749,0,0.053019319,0.032946205,21.9598846
-77.90243,34.50427,0,0.860634165,0.53479807,22.49468267
-77.90251,34.50445,0,0.021315323,0.013245342,22.50792801
-77.90286,34.50513,0,0.082133128,0.051037526,22.55896553
-77.90295,34.50534,0,0.024764461,0.015388636,22.57435417
-77.90367,34.50757,0,0.256591405,0.159445899,22.73380007
-77.90382,34.50823,0,0.074664619,0.046396594,22.78019666
-77.90386,34.50835,0,0.013837617,0.008598695,22.78879536
-77.9039,34.50884,0,0.05460865,0.033933815,22.82272917
-77.90392,34.5095,0,0.073411528,0.045617924,22.8683471
-77.90391,34.51161,0,0.234623084,0.145794784,23.01414188
-77.90402,34.51259,0,0.109436132,0.068003612,23.08214549
-77.90414,34.51324,0,0.073108209,0.045429441,23.12757493
-77.90418,34.5139,0,0.073480106,0.045660538,23.17323547
-77.90416,34.51432,0,0.046737806,0.029042873,23.20227834
-77.90413,34.51453,0,0.023512154,0.014610453,23.2168888
-77.90412,34.51471,0,0.020036047,0.012450399,23.2293392
-77.90404,34.51533,0,0.069329409,0.043081295,23.27242049
-77.90399,34.51606,0,0.081301463,0.050520729,23.32294122
-77.904,34.51648,0,0.046710855,0.029026126,23.35196735
-77.90404,34.51685,0,0.041305025,0.025666943,23.37763429
-77.90415,34.51737,0,0.058693097,0.03647189,23.41410618
-77.90444,34.51828,0,0.104617523,0.065009329,23.47911551
-77.90444,34.5183,0,0.002223899,0.001381931,23.48049744
-77.90521,34.52062,0,0.267444029,0.16618972,23.64668716
-77.9054,34.52128,0,0.075424775,0.046868955,23.69355611
-77.90549,34.52181,0,0.059507318,0.036977847,23.73053396
-77.9059,34.52902,0,0.802594791,0.498732403,24.22926636
-77.90591,34.52955,0,0.05894043,0.036625583,24.26589195
-77.90607,34.53266,0,0.346126679,0.215083119,24.48097507
-77.90615,34.53331,0,0.072647258,0.045143006,24.52611807
-77.90626,34.53377,0,0.052132697,0.032395258,24.55851333
-77.90633,34.53399,0,0.02528928,0.015714759,24.57422809
-77.90652,34.53449,0,0.058257907,0.036201463,24.61042955
-77.90657,34.53465,0,0.018371257,0.011415899,24.62184545
-77.90911,34.54142,0,0.787921976,0.489614716,25.11146017
-77.90913,34.54149,0,0.007996302,0.004968902,25.11642907
-77.90927,34.54183,0,0.039921719,0.024807356,25.14123643
-77.9133,34.55305,0,1.301058574,0.808477798,25.94971422
-77.91349,34.55349,0,0.051927816,0.032267945,25.98198217
-77.91375,34.55396,0,0.057430176,0.035687111,26.01766928
-77.91402,34.55433,0,0.048000697,0.029827633,26.04749691
-77.91415,34.55447,0,0.019597841,0.012178099,26.05967501
-77.91431,34.55468,0,0.027567448,0.017130412,26.07680542
-77.9148,34.55516,0,0.06973058,0.043330582,26.12013601
-77.91981,34.55965,0,0.678053852,0.421342664,26.54147867
-77.9204,34.56021,0,0.082440663,0.051228628,26.5927073
-77.92072,34.56055,0,0.047832906,0.029723368,26.62243067
-77.9211,34.56108,0,0.068439643,0.042528394,26.66495906
-77.92141,34.56165,0,0.069447748,0.043154831,26.70811389
-77.92156,34.56209,0,0.050817292,0.031577865,26.73969176
-77.9218,34.56296,0,0.099204465,0.061645654,26.80133741
-77.92299,34.56831,0,0.604789781,0.37581637,27.17715378
-77.92305,34.56869,0,0.042609722,0.026477681,27.20363146
-77.92305,34.56877,0,0.008895594,0.005527722,27.20915918
-77.92307,34.56891,0,0.01567463,0.009740215,27.2188994
-77.92306,34.56946,0,0.061164063,0.038007349,27.25690675
-77.92305,34.56952,0,0.006734232,0.004184652,27.2610914
-77.92871,34.56958,0,0.518284609,0.322062056,27.58315345
-77.93088,34.56966,0,0.198888693,0.123589434,27.70674289
-77.93125,34.56969,0,0.034041777,0.02115356,27.72789645
-77.93292,34.56976,0,0.153106419,0.095140329,27.82303678
-77.93405,34.56991,0,0.104800635,0.065123115,27.88815989
-77.93422,34.56992,0,0.015605161,0.009697047,27.89785694
-77.93458,34.56989,0,0.033130594,0.020587351,27.91844429
-77.93495,34.56984,0,0.034331039,0.021333307,27.9397776
-77.93503,34.56984,0,0.007324945,0.004551721,27.94432932
-77.93507,34.56986,0,0.00428479,0.002662569,27.94699189
-77.9351,34.56989,0,0.004321236,0.002685216,27.9496771
-77.93521,34.56997,0,0.013437727,0.008350204,27.95802731
-77.93524,34.57004,0,0.008254108,0.005129103,27.96315641
-77.93529,34.57013,0,0.011004986,0.006838498,27.96999491
-77.93547,34.57059,0,0.053739301,0.033393602,28.00338851
-77.93566,34.571,0,0.048796317,0.030322031,28.03371054
-77.93637,34.57308,0,0.240247559,0.149289833,28.18300037
-77.93644,34.57319,0,0.013808852,0.00858082,28.19158119
-77.93663,34.57371,0,0.06038154,0.037521089,28.22910228
-77.93668,34.57394,0,0.02598132,0.016144792,28.24524708
-77.93668,34.57404,0,0.011119493,0.006909653,28.25215673
-77.93669,34.57413,0,0.010049338,0.006244659,28.25840139
-77.93669,34.57432,0,0.021127036,0.01312834,28.27152973
-77.93671,34.57442,0,0.011269258,0.007002717,28.27853244
-77.93674,34.57448,0,0.007214977,0.004483387,28.28301583
-77.93694,34.57468,0,0.028807583,0.017901032,28.30091686
-77.93705,34.57475,0,0.012728487,0.007909482,28.30882635
-77.93717,34.5748,0,0.012313399,0.007651546,28.31647789
-77.93725,34.57486,0,0.009907568,0.006156563,28.32263445
-77.9373,34.57491,0,0.007201885,0.004475251,28.32710971
-77.93736,34.57499,0,0.010455081,0.006496787,28.33360649
-77.93747,34.57524,0,0.029566835,0.018372831,28.35197932
-77.93751,34.57537,0,0.014912036,0.009266339,28.36124566
-77.93751,34.57538,0,0.001111949,0.000690965,28.36193663
-77.93793,34.57662,0,0.143143311,0.088949253,28.45088588
-77.93802,34.57693,0,0.035441584,0.022023401,28.47290928
-77.93842,34.57796,0,0.120243184,0.074719115,28.5476284
-77.93843,34.57797,0,0.001440355,0.000895037,28.54852343
-77.93908,34.57972,0,0.203487085,0.126446875,28.67497031
-77.93924,34.5802,0,0.055347127,0.034392705,28.70936301
-77.93937,34.5805,0,0.035417997,0.022008743,28.73137176
-77.93944,34.58073,0,0.026365525,0.016383537,28.74775529
-77.93975,34.58159,0,0.099750119,0.061984724,28.80974002
-77.93983,34.58175,0,0.019239697,0.011955548,28.82169557
-77.9399,34.58198,0,0.026365502,0.016383523,28.83807909
-77.93996,34.58213,0,0.017560438,0.010912056,28.84899114
-77.93998,34.5822,0,0.007996096,0.004968774,28.85395992
-77.93999,34.58227,0,0.007837298,0.004870097,28.85883002
-77.93997,34.58235,0,0.009082071,0.005643599,28.86447361
-77.93993,34.58242,0,0.008602022,0.005345297,28.86981891
-77.93984,34.58248,0,0.010601783,0.006587948,28.87640686
-77.93975,34.58252,0,0.009363178,0.005818279,28.88222514
-77.93983,34.58268,0,0.019239666,0.011955528,28.89418067
-77.9402,34.58366,0,0.114114097,0.0709105,28.96509117
-77.94029,34.58394,0,0.032206305,0.020012998,28.98510416
-77.94038,34.58417,0,0.026869234,0.016696542,29.00180071
-77.94042,34.58425,0,0.009619806,0.005977747,29.00777845
-77.94051,34.58439,0,0.017613169,0.010944823,29.01872328
-77.94068,34.58475,0,0.04294897,0.02668849,29.04541177
-77.9418,34.5879,0,0.36496172,0.226787213,29.27219898
-77.9418,34.58791,0,0.001111949,0.000690965,29.27288994
-77.94192,34.58824,0,0.038303315,0.02380168,29.29669162
-77.94192,34.58825,0,0.001111949,0.000690965,29.29738259
-77.94198,34.58843,0,0.020755026,0.012897173,29.31027976
-77.94206,34.58855,0,0.015220934,0.009458288,29.31973805
-77.942,34.58858,0,0.006426128,0.003993196,29.32373125
-77.94204,34.58864,0,0.007610465,0.004729143,29.32846039
-77.95293,34.61817,0,3.431524431,2.132349281,31.46080967
-77.95379,34.6204,0,0.26015302,0.161659087,31.62246876
-77.95442,34.62214,0,0.201884892,0.125451272,31.74792003
-77.95537,34.62457,0,0.283842296,0.176379603,31.92429963
-77.96048,34.63848,0,1.615838709,1.004082174,32.92838181
-77.96109,34.64048,0,0.229284853,0.142477607,33.07085941
-77.96116,34.6405,0,0.006779038,0.004212494,33.07507191
-77.96149,34.64055,0,0.030697363,0.019075341,33.09414725
-77.96158,34.64059,0,0.009358109,0.005815129,33.09996238
-77.96165,34.64065,0,0.009247758,0.005746557,33.10570893
-77.96167,34.64069,0,0.004809429,0.002988579,33.10869751
-77.96285,34.64387,0,0.369710417,0.229738053,33.33843557
-77.96286,34.64392,0,0.005634505,0.003501281,33.34193685
-77.96304,34.64447,0,0.063335186,0.039356484,33.38129333
-77.96308,34.64446,0,0.003824401,0.002376483,33.38366981
